,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
MDP1,7,2,3,10,3,3,3,3,0,7,1,3,8,8,6
LEUTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNK1E,2611,1902,1876,2402,1836,3042,2236,3009,4516,3188,3735,3912,3472,3397,4897
HNRNPH1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPM1P33,0,0,0,0,1,0,2,0,2,0,1,0,22,0,19
MSRB1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRF9,704,570,895,1708,973,1222,431,672,0,1278,1157,1061,1525,917,821
GALT,2020,1857,1216,1984,1282,1654,3122,9831,5414,4629,7652,4166,4536,4648,3289
HBE1,0,0,0,4,0,0,6,0,0,0,8,0,16,0,0
HBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092610.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CLDN9,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
SEPHS1P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.314A20.1,0,2,0,1,0,1,1,4,6,7,10,10,2,0,2
RP11.94D20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1.102E24.1,0,0,0,0,4,2,5,1,4,0,0,0,1,0,1
KRT18P17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB1P1,0,0,0,0,0,5,1,0,1,0,0,2,1,2,0
ITGA1,1,0,0,1,0,0,56,0,3,40,28,73,99,7,112
RPS10P2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATP5HP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.269M20.1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0
KRT18P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5.1100H13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
API5P2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC074286.1,27,7,8,28,2,13,15,41,0,38,3,8,41,37,9
CHCHD4P4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NUDT19,403,627,351,735,418,804,497,762,335,446,487,582,676,524,742
ZNF726,178,89,94,248,80,203,130,48,240,175,82,120,197,53,118
RP11.264F23.1,0,0,5,18,6,10,0,3,0,1,5,0,10,9,5
RP11.15H20.6,109,112,122,90,121,148,181,192,0,200,63,121,226,90,125
RP3.522P13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF99,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0
CTD.2561J22.2,15,2,8,4,39,34,2,8,0,40,0,5,51,23,43
TAX1BP3,110,57,73,48,81,35,86,71,80,105,126,154,90,95,136
RPL7AP14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
AC007277.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1G2,3234,2623,2077,3657,1773,3474,4521,5535,199,6104,5772,6406,6756,4242,4413
AC078899.1,0,2,1,1,2,3,0,5,0,4,1,1,0,0,3
RP11.399E6.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZNF90,47,8,89,13,46,23,118,57,7,177,0,64,92,48,170
RP11.414H17.5,0,13,0,0,2,3,0,7,0,14,7,11,5,43,3
CARKD,1328,678,937,641,967,1200,1751,1331,989,1907,1348,2032,2673,2148,2409
TM6SF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGAM1P7,0,0,0,15,1,16,0,25,0,15,2,8,4,17,0
MEF2B,2,8,5,4,2,1,4,11,0,11,4,0,17,7,12
ATP5F1P3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PCNAP3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KRT18P38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GANC,239,286,273,404,482,426,765,631,0,720,430,895,801,507,523
RP11.414H17.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP6.105D16.1,1,0,0,0,2,2,5,5,6,0,9,3,1,0,4
RRM2P3,0,0,0,20,8,39,17,24,0,0,0,0,0,0,0
RP6.218J18.2,4,1,1,1,5,2,2,1,3,1,2,0,7,5,1
FTLP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTLL3,835,360,879,728,835,595,684,612,961,690,927,711,1059,438,534
REPIN1,2123,2177,1747,2289,1774,3699,2292,2584,6230,2834,2088,2541,2969,2152,2877
RPL23AP29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1P4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MRPL23,608,475,487,490,496,517,978,1339,1469,1542,2136,1669,1507,1500,1868
ARPC3P5,2,0,1,0,4,0,0,3,3,2,0,1,2,0,1
ZNF891,227,29,100,148,96,112,293,271,272,439,131,289,586,63,247
RP11.169L17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073310.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.474D1.3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
PGAM1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5.944M2.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RP6.186E3.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
SMIM7,1556,1232,1634,1739,1260,1728,1337,1970,103,2405,1769,1985,1620,1726,1322
RPS11P7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
UCA1,21,0,6,3,10,15,5,5,0,5,23,3,9,3,2
FBXO16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARF4P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
TSPAN4,387,2451,272,1437,287,1866,134,106,1,128,94,54,180,123,104
RPL6P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP11.549L6.2,12,0,0,0,3,0,17,13,324,6,0,0,17,0,7
AC011999.1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RP11.31H15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P17,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0
RPL23AP39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CPSF1P1,0,78,0,0,0,0,26,0,0,28,0,32,16,134,0
GNAQP1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
CPNE1,7643,7085,5189,6226,4852,7390,6029,7870,7202,7833,6739,7621,7418,5974,7901
CYP4F30P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL16,2724,2177,1159,1754,758,827,2644,3207,3109,2614,2523,2279,1015,610,729
RP11.256K7.1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0
RP11.247I13.3,2,1,8,28,6,17,16,38,2,26,73,15,55,0,19
SMCO1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
AC079776.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WEE2,0,6,0,0,1,0,0,2,96,0,0,0,0,3,2
PAXIP1.AS2,177,252,243,210,149,368,302,280,0,201,163,215,262,185,108
MAGEB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPT1P5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LDHAP4,150,167,185,190,127,165,212,264,91,263,245,341,199,235,234
RP1.258N20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYRM4,430,641,566,617,359,466,614,600,71,953,839,1130,961,422,1028
MYCBP,644,566,467,690,533,724,552,868,0,800,547,857,720,449,785
PRDX1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPEP9,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
RP3.412A9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM213,0,133,0,34,0,43,0,0,0,0,0,0,3,0,1
RP11.420O16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC024560.3,420,512,299,690,372,567,579,471,5,731,475,649,843,474,646
PRCD,8,292,1,192,1,180,3,3,0,5,18,1,1,0,4
ACTN4P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P60,0,0,0,0,0,1,0,10,0,6,0,0,26,0,0
RP11.488L18.1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
LINC00887,0,0,0,0,0,0,1,0,0,0,23,1,0,0,13
RP11.699L21.1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RP11.332P22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG3,1357,998,1089,1049,782,1071,1532,1992,1162,2305,1552,2322,1852,1209,1804
SDC4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMZ2P1,1577,1422,1330,1633,1324,1633,729,687,611,1233,605,969,2429,1586,1826
PLEKHM1P,2529,1031,1976,1496,1970,2162,2044,1760,1430,2322,1742,2029,2410,2126,2129
PPIAP23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTMAP5,143,148,134,147,161,200,182,251,304,287,284,305,263,183,283
GCC2.AS1,2,4,5,3,6,12,21,24,0,24,26,11,10,20,21
XPOTP1,0,0,1,0,0,1,2,2,0,0,0,3,0,0,0
ST7.OT4,3,3,3,0,7,5,0,7,0,0,7,0,0,4,0
ZNF788,0,0,0,3,4,31,0,0,0,1,0,0,0,0,0
RNF152P1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UBE2V1P2,2,0,1,0,1,2,3,4,2,4,0,3,3,2,1
SH3D21,10,458,6,450,21,452,32,69,0,1,42,14,28,0,59
LINC00998,407,321,167,186,221,244,596,923,2869,587,593,640,803,490,868
HMGN2P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC41P,6,0,1,16,7,12,45,7,3,17,26,11,10,1,9
EEF1A1P12,17,10,9,20,17,40,42,38,27,50,45,45,56,26,45
TPM3P2,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0
RPS4XP1,1,0,1,0,0,0,0,5,3,0,0,0,2,0,1
HNRNPA1P43,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
KRT18P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.208P4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CTAGE14P,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
C19orf38,101,611,27,211,696,239,11,0,856,44,0,0,13,18,1
C12orf74,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0
IQCJ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
TUBBP2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
HNRNPA1P10,1,3,6,1,1,5,2,3,8,4,7,2,2,4,4
C17orf67,214,184,90,88,154,121,326,394,421,419,457,322,492,283,325
RP11.166N6.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AC004980.10,0,0,4,0,0,1,0,1,0,0,5,3,0,0,1
SETP21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HDHD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD.3193O13.12,0,0,0,11,13,4,6,1,0,18,0,3,0,0,4
CTAGE11P,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
AZGP1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIS1,3372,2874,2177,2166,2213,2699,3687,4524,7052,4368,5231,4777,5667,3820,5517
AC136896.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS2P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.568J23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD36BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPSAP53,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0
KCTD9P4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SNURF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARP1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
RPS3AP33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGMNP1,0,0,0,0,0,0,0,0,26,3,4,2,0,3,0
AGGF1P1,0,0,6,0,0,0,3,0,0,3,0,0,0,10,0
ANG,0,0,0,0,0,0,5,3,0,22,14,15,27,0,10
CTD.2228K2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCART1,87,89,60,153,142,286,89,2004,4,48,2298,247,137,1259,318
RP11.553K23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGN2P39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAD51AP1P1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
NPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDCL3P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGB3P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLCA2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
APTR,258,155,137,126,113,51,157,109,0,145,107,164,203,91,183
FOXO1B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALDOAP2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
MRPS21P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPDYE3,285,286,276,307,261,358,325,571,1,488,529,573,677,590,576
RP11.91K8.4,0,0,0,0,0,0,18,4,0,25,5,25,9,13,16
Metazoa_SRP.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBLAC1,84,51,86,122,36,72,132,81,0,131,87,93,96,63,84
AZGP1P1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ATP5G1P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXADRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBX1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBX1P2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C3orf56,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RPL31P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC9B1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.252A24.2,207,155,261,249,210,161,172,99,85,221,62,100,224,97,97
CTAGE16P,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0
FOXI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOGA3,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
ATP5F1P2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OR4F13P,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
CTB.180A7.8,1,0,1,0,0,0,0,7,0,0,1,2,0,9,0
OR1X5P,0,0,0,0,0,0,1,1,0,0,4,9,0,0,7
VAC14.AS1,43,27,19,96,35,39,28,85,0,76,28,84,220,86,47
AC133644.3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
NEURL1B,20,0,1,0,6,0,3,9,1,0,0,1,0,0,2
RPL18P10,0,0,13,4,4,9,9,17,0,0,16,7,3,0,0
EFCAB9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RP11.7D5.2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3
EIF4EP5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HAUS3,2699,1365,2584,1754,2223,1623,7449,4589,2306,6824,3046,7750,7014,4410,5008
AC009967.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPLP2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSTM5,0,0,0,0,0,0,4,0,0,0,8,0,2,1,0
RP11.457K10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS3AP26,0,10,0,4,3,11,9,20,23,17,7,9,21,21,38
TUBAP2,8,4,1,2,6,3,3,5,2,3,7,4,7,2,5
KANSL1.AS1,273,135,942,619,1292,725,676,691,374,2338,2388,2484,2253,2038,3749
LCNL1,5,0,29,0,30,1,4,10,0,1,2,1,0,3,1
RAP1BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP11.221J22.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BBIP1,306,396,308,530,333,304,677,816,371,1041,857,946,1310,888,1052
TRIM77,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
GNAT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FAM149B1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LRRC37A4P,308,324,102,202,5,14,426,362,1268,257,194,140,12,19,27
NPM1P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCSP6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AC068831.10,0,0,2,7,6,6,8,0,5,25,8,4,40,1,3
GOLGA2P8,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0
NIFKP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AS3MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM185BP,47,34,32,35,28,31,84,54,0,53,54,85,55,62,69
FAM187A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCN1P2,3,0,10,9,13,10,2,2,0,15,23,26,11,10,17
PLIN5,0,7,8,0,9,0,43,10,130,0,0,0,29,49,16
RPL7P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPT1P6,0,1,0,0,1,1,0,1,3,0,0,0,0,0,3
SMARCE1P6,7,0,0,0,2,1,0,0,0,4,0,0,0,18,0
AC074008.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P1,14,14,14,17,14,17,42,32,43,42,50,41,45,27,39
OR7E148P,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SEC14L6,0,24,0,65,0,47,0,0,0,0,0,15,4,0,0
SPINK13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
HIGD1C,1,0,2,0,3,0,0,0,0,0,0,0,0,0,3
NOTO,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0
KRT42P,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PPME1,640,343,467,510,422,632,878,1036,331,853,972,1252,812,773,726
KRTAP2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC130709.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP000343.1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
STARD10,299,2976,284,3509,274,4205,1007,1096,1388,1394,885,1075,1022,883,1377
KRT18P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF705E,0,5,27,4,0,5,2,60,0,37,22,24,29,8,9
RPS15AP1,1,22,1,5,3,23,29,30,60,20,36,33,36,17,29
RPS4XP3,1,8,2,4,0,5,6,8,10,9,12,8,11,5,13
GTF2IRD2P1,7,2,3,6,0,5,30,3,2,9,0,13,14,7,1
AC087491.2,0,0,0,0,4,0,15,0,0,0,0,0,0,0,2
MEG3,1,0,0,0,1408,1,3,0,0,0,0,0,5,0,0
SDHCP2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COPS8P2,1,1,0,0,0,0,2,1,0,0,0,1,1,1,1
LRRC37A11P,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
RP11.74E24.2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0
RP11.323J4.1,5,2,3,2,2,0,2,0,0,13,0,0,3,0,0
RPL21P41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBBP4P4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
NUTM2D,0,1,1,1,0,0,1,0,0,0,14,8,2,6,0
GAPDHP15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CPEB1,0,0,0,0,1,0,5,13,1,7,29,3,0,0,7
HMGN2P15,2,5,0,0,1,1,0,1,1,1,0,0,2,0,0
RP11.80F22.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGGT1BP2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
RP11.65N13.6,0,1,0,3,6,0,7,3,1,0,2,4,1,5,20
EML6,44,10,28,50,15,20,17,38,2,6,20,12,6,26,12
CTBP2P5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
NPM1P36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM24P,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
RPS19P1,3,3,1,0,0,1,2,3,4,5,5,6,1,2,7
RP11.989E6.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SLC6A10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR3DP1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6
RP11.392M9.2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
RPSAP6,2,0,8,0,0,0,18,29,0,0,7,0,0,0,0
RP11.793K1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.114H24.4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2
RP11.83B20.1,0,0,0,0,4,0,10,18,0,0,0,0,0,0,0
RP11.477J21.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZNF727,17,4,15,22,0,23,0,2,0,0,0,2,3,0,2
HNRNPA3P3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
RP11.27I1.4,55,22,19,5,10,6,38,40,0,37,45,11,0,3,105
ZSWIM8,1584,465,1310,923,1232,1362,1095,1189,27,1211,819,1051,1424,1169,1280
RP11.120J4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KRT8P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC29A4P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC29A4P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.18B16.1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RPL6P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003045.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf105,0,0,1,0,15,3,0,0,0,0,6,0,0,0,0
AC104654.1,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0
ARHGEF33,0,0,0,0,0,6,0,10,0,15,0,3,21,0,9
NPAP1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12orf71,0,0,5,0,0,1,0,0,911,0,0,0,0,0,0
RP11.247C2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFRD2,1215,1521,775,989,663,1067,1729,2550,859,2765,2586,3012,1943,1990,2078
AC090616.2,11,6,8,6,5,1,4,7,0,12,0,4,10,7,7
CAPN14,0,0,22,44,23,0,45,3,38,73,0,59,0,28,0
ZBED1,3049,2141,3556,2215,2367,3775,2401,2512,2082,3117,2174,3650,2741,3041,3551
AC005562.1,9,13,7,10,4,12,8,7,0,3,6,7,6,1,1
KRT18P49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CDIPT.AS1,0,0,3,0,0,0,1,7,0,0,4,0,0,0,0
RPL5P35,10,0,2,0,11,12,4,9,0,0,0,0,21,18,14
RP1.139D8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.429J17.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TOMM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPS5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.54I5.1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
RP11.332E4.1,1,4,1,1,1,1,10,0,13,3,10,4,2,10,7
HNRNPUL2,427,297,134,243,189,167,229,348,411,162,173,185,365,250,483
AC004870.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METTL12,66,116,32,80,42,88,218,298,221,155,175,163,121,191,259
CTD.2509G16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P1,8,2,1,2,3,7,3,9,3,7,22,2,3,5,18
HNRNPA1P15,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0
SEPT7P2,910,505,813,940,987,846,963,1300,385,1084,1126,1233,1720,1352,1422
RP11.544I20.2,2,2,0,0,0,5,0,0,0,8,45,0,6,0,4
RP11.174G6.1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
RP11.717D12.1,4,6,21,21,13,31,0,7,0,20,1,18,3,17,16
RP11.726G1.1,59,10,8,8,4,39,10,63,0,5,0,2,31,7,5
MS4A18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR2J4,56,66,44,84,79,55,225,210,32,166,37,94,130,198,108
AC010468.1,8,19,9,11,4,27,34,45,92,54,63,35,59,45,47
MS4A4E,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0
OOSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.480I12.5,8,0,0,7,5,6,0,0,0,0,0,0,3,3,1
RP11.1036E20.9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
RP11.37N22.1,0,7,0,1,8,4,2,0,0,0,0,5,1,0,4
NPM1P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCSP55,2,0,4,0,2,2,1,2,4,3,1,4,5,2,2
RP5.1053E7.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FER1L6,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0
AC008265.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRT15L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPRIPP1,1,9,3,8,1,1,1,1,0,0,0,1,0,0,0
HMGB1P4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1
KRT16P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NXT1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EI24P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX12P,70,110,59,91,66,126,151,97,0,96,121,95,254,143,182
MTCP1,57,63,30,105,18,68,38,68,0,35,185,133,130,52,65
UPF3AP2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
RPL23AP6,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
LINC01347,9,19,28,22,27,18,12,26,0,31,73,51,23,8,15
RAD51AP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFYVE9P2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP11.115L11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
LINC00612,31,10,19,16,18,6,62,59,64,47,22,20,78,46,30
RP11.509M23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
